"HS","Hospital Sotero del Rio","431","1399","2503","3470","3714","3371","2042","1672","1162","987","825","730","647","632","705","725","662","590","487","495","422","451","449","531","623","679","576","445","308","315","315","289","229","173","119","23","1"
"IR","Irarrazaval","23","122","312","804","1322","1758","1540","970","848","611","554","575","558","566","608","733","810","692","693","739","764","818","884","1070","1460","2345","2623","2273","1545","1213","817","715","559","550","423","87","1"
"LC","La Cisterna","841","2754","4633","7086","6971","6665","4808","3646","2959","2133","1895","1611","1412","1314","1368","1723","1474","1316","1169","1039","1005","1072","1077","1295","1674","2211","2051","1537","1215","1058","887","800","653","463","288","26","2"
"LG","La Granja","82","303","568","726","937","825","436","283","215","148","124","111","95","91","105","114","90","79","76","83","70","61","71","75","103","126","115","86","77","67","63","60","46","39","16","3","2"
"LM","La Moneda","84","194","368","722","1122","1413","1265","1021","947","930","962","1007","1124","1180","1304","1584","1396","1350","1197","1101","1114","1201","1316","1753","2466","3087","2851","2303","1598","1393","978","913","940","860","596","133","2"
"LS","Laguna Sur","64","382","851","1745","1534","1242","716","621","506","383","309","280","217","197","244","387","257","244","195","222","197","169","183","262","234","310","271","210","168","156","137","139","101","83","60","11","0"
"ME","Las Mercedes","128","374","998","1569","1598","1498","874","731","532","495","391","357","331","344","385","464","357","352","287","267","269","290","283","341","435","445","354","334","231","227","228","211","167","192","157","13","1"
"PA","Las Parcelas","39","166","450","981","1033","781","419","381","286","229","189","163","133","126","143","229","157","136","131","117","113","123","124","126","162","179","173","148","126","109","107","102","80","87","61","4","0"
"LR","Las Rejas","366","1024","1913","3667","4558","5286","3909","2439","1793","1176","1048","930","813","690","695","824","803","697","583","600","549","577","571","637","803","1242","1226","752","522","406","356","335","237","224","160","31","4"
"LT","Las Torres","32","203","421","708","837","738","465","351","249","205","172","155","148","143","131","156","134","142","119","126","131","143","131","203","204","249","232","191","148","128","109","99","84","58","40","13","2"
"LO","Lo Ovalle","120","448","781","1609","1664","1653","1161","864","721","558","466","434","416","364","374","452","445","370","359","330","318","324","361","361","429","644","610","476","354","342","241","228","201","139","94","16","1"
"PR","Lo Prado","19","92","167","278","325","281","191","176","133","123","98","84","83","78","80","95","96","76","60","57","67","68","63","84","102","95","92","73","50","48","35","35","28","27","19","2","0"
"LV","Lo Vial","22","75","187","367","487","460","301","256","253","191","196","200","181","176","173","236","225","213","221","163","174","225","214","264","334","429","386","281","208","165","115","111","84","87","51","14","0"
"LD","Los Dominicos","10","53","174","680","1500","1659","1314","934","586","422","449","397","361","346","412","462","433","462","524","537","618","727","914","1091","1499","1946","2058","1624","1371","1072","709","519","462","377","262","12","0"
"LH","Los Heroes","72","257","459","1001","1403","1554","1283","926","827","788","715","856","1028","1053","1428","1667","1684","1161","1148","1243","1322","1394","1403","1830","2050","2369","2431","2042","1503","1499","1360","1373","2202","2116","2212","284","2"
"LE","Los Leones","13","50","128","382","753","1036","984","857","719","653","778","843","966","971","1111","1243","1416","1332","1272","1274","1218","1347","1450","1696","2103","2923","3467","3254","2395","2308","1547","1428","806","640","370","83","1"
"OR","Los Orientales","16","51","141","406","645","614","460","326","246","161","146","141","124","114","133","148","136","135","175","140","161","164","190","201","299","315","352","262","201","161","143","114","83","73","71","17","0"
"LP","Los Presidentes","42","189","398","773","928","845","537","402","319","230","207","163","136","133","122","152","155","130","120","120","118","124","143","125","179","228","187","169","149","133","118","124","107","70","49","21","1"
"LQ","Los Quillayes","89","382","735","1021","1089","1010","614","481","341","276","228","193","169","153","180","238","185","178","141","132","135","239","141","149","193","219","176","140","124","107","102","88","72","63","41","14","1"
