periodos,0:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,,Total
San Alberto Hurtado,,97,507,944,"1,342","1,591","1,757","1,247",996,778,620,527,482,415,364,374,429,416,327,344,319,315,301,346,364,454,682,804,575,407,309,276,237,200,165,108,21,0,,"19,439"
Zapadores,,56,346,733,"1,355","1,567","1,355",941,735,645,492,418,383,330,296,321,420,403,322,307,270,281,289,359,387,550,675,681,506,369,293,225,198,174,142,82,9,0,,"16,919"
Pudahuel,,77,451,975,"1,748","1,550","1,345","1,067",886,721,596,514,445,388,338,393,471,453,347,320,331,333,339,376,429,630,737,811,538,357,290,272,256,180,160,85,31,3,,"19,242"
Pedrero,,105,277,536,856,915,891,691,522,455,351,312,270,240,220,231,279,267,232,204,213,196,202,236,257,291,435,414,329,267,208,178,180,148,105,109,35,2,,"11,657"
Ciudad del Nino,,20,83,257,603,698,657,449,327,281,217,204,191,186,155,175,269,198,164,150,176,164,246,306,195,235,318,296,219,186,152,114,125,113,96,59,7,,,"8,289"
Los Orientales,,16,51,141,406,645,614,460,326,246,161,146,141,124,114,133,148,136,135,175,140,161,164,190,201,299,315,352,262,201,161,143,114,83,73,71,17,,,"7,266"
Dorsal,,21,199,367,724,712,758,455,399,363,273,223,216,193,177,177,244,210,199,169,159,162,199,204,225,310,520,518,458,277,184,158,129,112,94,52,6,,,"9,843"
Barrancas,,29,127,318,556,479,408,314,276,223,161,154,128,112,123,113,163,148,120,121,122,152,122,134,171,253,378,430,286,218,164,119,106,90,81,57,14,1,,"6,974"
Rojas Magallanes,,27,98,218,338,390,394,307,231,185,178,146,126,100,102,117,157,150,133,112,122,98,157,150,140,164,214,188,166,133,118,107,113,92,80,53,14,1,,"5,618"
Grecia,,88,331,636,"1,237","1,528","1,417","1,101",898,640,496,475,420,392,400,403,466,438,499,434,400,403,519,534,741,721,822,765,678,630,478,416,385,310,249,165,63,,,"20,579"
Gruta de Lourdes,,39,153,364,608,595,666,527,449,395,268,235,206,183,162,167,203,200,183,163,147,186,207,208,276,392,501,548,413,273,199,167,143,126,87,60,17,,,"9,715"
Einstein,,34,207,407,752,857,889,613,445,354,293,287,248,237,221,207,307,275,245,223,215,240,262,272,355,525,805,780,506,347,277,169,146,122,134,63,4,,,"12,323"
Ecuador,,67,209,338,715,817,"1,021",731,582,563,431,434,382,362,329,336,393,372,317,282,295,275,303,331,401,466,615,511,369,236,258,197,115,83,64,45,12,,,"13,258"
Quinta Normal,,19,134,324,771,"1,069","1,393",943,598,417,305,282,291,281,294,325,420,397,364,295,323,337,743,737,572,649,758,699,633,500,422,346,231,157,137,99,24,,,"16,288"
Universidad de Santiago,,292,500,844,"1,567","1,908","2,275","1,543","1,272","1,017",775,694,713,653,602,634,844,676,649,563,639,664,680,669,916,848,"1,023","1,318","1,023",855,859,729,741,702,677,400,115,3,,"30,880"
Departamental,,43,160,349,623,649,589,430,409,372,308,279,278,242,211,238,343,291,243,221,217,252,218,306,278,324,508,460,340,250,205,158,139,106,92,78,12,0,,"10,221"
Vespucio Norte,,39,258,622,"1,693","1,851","1,579","1,192",794,667,515,519,465,426,402,454,523,534,454,443,436,462,527,609,729,"1,313","1,824","1,978","1,465",965,763,535,392,337,236,135,4,,,"26,138"
Simon Bolivar,,3,30,79,273,480,487,355,295,198,131,149,145,108,101,110,131,133,130,154,195,153,171,220,245,283,348,334,310,234,223,178,129,151,99,69,26,1,,"6,859"
Quilin,,19,60,184,613,649,651,430,357,247,205,197,187,174,170,191,212,194,196,196,211,236,296,345,345,436,550,512,470,338,351,259,227,249,174,129,39,0,,"10,299"
Bellavista de la Florida,,147,233,547,"1,212","1,468","1,508","1,308",985,887,776,728,709,752,632,685,846,759,713,614,587,566,583,586,625,745,909,859,739,628,584,673,653,523,329,206,24,0,,"25,327"
Lo Vial,,22,75,187,367,487,460,301,256,253,191,196,200,181,176,173,236,225,213,221,163,174,225,214,264,334,429,386,281,208,165,115,111,84,87,51,14,,,"7,725"
